,Country,Energy Supplied,Name,Reactor Type,Model,Status,Design Net Capacity (MWe),Reference Unit Power (MWe),Gross Capacity (MWe),Thermal Capacity (MWt),Electricity Supplied (TWh),Owner,Operator,Construction Start Date,First Criticality Date,First Grid Connection Date,Longterm Shutdown Date,Restart Date,Permanent Shutdown Date,Commercial Operation Date,Load Factor,Operation Factor,Energy Availability Factor,Id
0,ARMENIA,"    Year              Electricity Supplied  [GW.h]  ...                          Load Factor  [%]                                          
    Year              Electricity Supplied  [GW.h]  ...                                    Annual                                Cumulative
0   1976  Data from a trial operation not provided  ...  Data from a trial operation not provided  Data from a trial operation not provided
1   1977                         Data Not Provided  ...                         Data Not Provided                         Data Not Provided
2   1978                                         ""  ...                                         ""                                         ""
3   1979                                         ""  ...                                         ""                                         ""
4   1980                                         ""  ...                                         ""                                         ""
5   1981                                         ""  ...                                         ""                                         ""
6   1982                                         ""  ...                                         ""                                         ""
7   1983                                         ""  ...                                         ""                                         ""
8   1984                                         ""  ...                                         ""                                         ""
9   1985                                         ""  ...                                         ""                                         ""
10  1986                                         ""  ...                                         ""                                         ""
11  1987                                  2101.320  ...                                      58.8                                        NC
12  1988                                  2149.510  ...                                      65.1                                        NC
13  1989                                   505.330  ...                                      94.9                                        NC

[14 rows x 9 columns]",ARMENIAN-1,PWR  ,VVER V-270,Permanent Shutdown,376.0,376.0,408.0,1375.0,25.27,Ministry of Territorial Administration and Infrastructure,Closed Joint Stock Company Armenian NPP,1969-07-01,1976-12-15 00:00:00,1976-12-22 00:00:00,None,None,1989-02-25 00:00:00,1977-10-06 00:00:00,None,None,None,1
1,ARMENIA,"    Year              Electricity Supplied  [GW.h]  ...                          Load Factor  [%]                                          
    Year              Electricity Supplied  [GW.h]  ...                                    Annual                                Cumulative
0   1980                         Data Not Provided  ...                         Data Not Provided                         Data Not Provided
1   1981                                         ""  ...                                         ""                                         ""
2   1982                                         ""  ...                                         ""                                         ""
3   1983                                         ""  ...                                         ""                                         ""
4   1984                                         ""  ...                                         ""                                         ""
5   1985                                         ""  ...                                         ""                                         ""
6   1986                                         ""  ...                                         ""                                         ""
7   1987                                  2629.080  ...                                      73.6                                        NC
8   1988                                  2254.530  ...                                      68.3                                        NC
9   1989                                   671.280  ...                                      82.7                                        NC
10  1990  Data Not Available - Suspended Operation  ...  Data Not Available - Suspended Operation  Data Not Available - Suspended Operation
11  1991                                         ""  ...                                         ""                                         ""
12  1992                                         ""  ...                                         ""                                         ""
13  1993                                         ""  ...                                         ""                                         ""
14  1994                                         ""  ...                                         ""                                         ""
15  1995                         Data Not Provided  ...                         Data Not Provided                         Data Not Provided
16  1996                                  2097.980  ...                                      63.5                                        NC
17  1997                                  1429.960  ...                                      43.4                                        NC
18  1998                                  1416.470  ...                                      43.0                                        NC
19  1999                                  1890.370  ...                                      57.4                                        NC
20  2000                                  1841.510  ...                                      55.8                                      58.9
21  2001                                  1815.410  ...                                      55.1                                      58.4
22  2002                                  2078.900  ...                                      63.1                                      58.9
23  2003                                  1997.550  ...                                      60.6                                      59.1
24  2004                                  2196.580  ...                                      66.5                                      59.7
25  2005                                  2504.490  ...                                      76.0                                      61.1
26  2006                                  2421.620  ...                                      73.5                                      62.0
27  2007                                  2347.830  ...                                      71.3                                      62.6
28  2008                                  2265.890  ...                                      68.6                                      63.0
29  2009                                  2290.420  ...                                      69.7                                      63.4
30  2010                                  2286.540  ...                                      69.6                                      63.8
31  2011                                  2356.840  ...                                      71.8                                      64.2
32  2012                                  2123.500  ...                                      64.5                                      64.2
33  2013                                  2167.630  ...                                      66.0                                      64.3
34  2014                                  2265.640  ...                                      69.0                                      64.5
35  2015                                  2571.100  ...                                      78.3                                      65.2
36  2016                                  2194.850  ...                                      66.6                                      65.2
37  2017                                  2411.390  ...                                      73.4                                      65.6
38  2018                                  1898.080  ...                                      57.8                                      65.2
39  2019                                  2028.960  ...                                      61.8                                      65.1
40  2020                                  2551.800  ...                                      70.0                                      65.3
41  2021                                  1850.040  ...                                      50.2                                      64.7

[42 rows x 9 columns]",ARMENIAN-2,PWR  ,VVER V-270,Operational,375.0,448.0,451.0,1375.0,77.81,Ministry of Territorial Administration and Infrastructure,Closed Joint Stock Company Armenian NPP,1975-07-01,1980-01-01 00:00:00,1980-01-05 00:00:00,1989-03-18 00:00:00,1995-11-05 00:00:00,None,1980-05-03 00:00:00,0.647,0.787,0.6509999999999999,2
2,ARGENTINA,"    Year Electricity Supplied  [GW.h] Reference Unit Power  [MW] Annual Time On Line  [h] Operation Factor  [%] Energy Availability Factor  [%]            Load Factor  [%]           
    Year Electricity Supplied  [GW.h] Reference Unit Power  [MW] Annual Time On Line  [h] Operation Factor  [%]                          Annual Cumulative           Annual Cumulative
0   1974                       947.50                        319                     4458                  66.0                            50.3       50.3             50.3       50.3
1   1975                      2357.80                        319                     7730                  88.2                            85.6       73.8             84.4       73.0
2   1976                      2408.60                        319                     7808                  88.9                            86.9       79.0             86.0       78.2
3   1977                      1537.00                        345                     4650                  53.1                            53.0       71.3             52.2       70.4
4   1978                      2711.81                        345                     8026                  91.6                            90.9       75.9             89.7       74.9
5   1979                      2503.70                        335                     7551                  86.2                            84.1       77.4             85.3       76.9
6   1980                      2180.50                        335                     6947                  79.1                            73.5       76.8             74.1       76.4
7   1981                      2647.60                        335                     8120                  92.7                            89.7       78.5             90.2       78.3
8   1982                      1753.60                        335                     5600                  63.9                            59.2       76.2             59.8       76.1
9   1983                      2356.00                        335                     8101                  92.5                            78.4       76.5             80.3       76.5
10  1984                      1706.12                        335                     8678                  98.8                            98.7       78.6             58.0       74.8
11  1985                      1470.45                        335                     7159                  81.7                            91.6       79.7             50.1       72.6
12  1986                      2204.96                        335                     7532                  86.0                            75.8       79.4             75.1       72.8
13  1987                      1405.80                        335                     4391                  50.1                            49.2       77.2             47.9       70.9
14  1988                       808.10                        335                     2515                  28.6                            27.1       73.7             27.5       67.9
15  1989                         0.00                        335                        0                   0.0                             0.0       68.9              0.0       63.5
16  1990                      1722.59                        335                     7201                  82.2                            58.7       68.3             58.7       63.2
17  1991                      2721.89                        335                     8390                  95.8                            92.6       69.7             92.8       64.9
18  1992                      2230.24                        335                     7089                  80.7                            76.3       70.0             75.8       65.5
19  1993                      2403.66                        335                     7287                  83.2                            82.2       70.7             81.9       66.4
20  1994                      2651.86                        335                     7916                  90.4                            90.4       71.6             90.4       67.5
21  1995                      2671.71                        335                     8376                  95.6                            92.3       72.6             91.0       68.6
22  1996                      2038.80                        335                     6990                  79.6                            70.6       72.5             69.3       68.7
23  1997                      2720.14                        335                     8329                  95.1                            93.4       73.4             92.7       69.7
24  1998                      2374.36                        335                     7242                  82.7                            81.3       73.7             80.9       70.1
25  1999                      1395.50                        335                     4364                  49.8                            47.8       72.7             47.6       69.2
26  2000                      1677.85                        335                     5038                  57.4                            56.8       72.1             57.0       68.8
27  2001                      1425.96                        335                     4407                  50.3                            48.7       71.2             48.6       68.0
28  2002                      1011.50                        335                     3030                  34.6                            34.6       70.0             34.5       66.9
29  2003                      2020.60                        335                     6094                  69.6                            68.8       69.9             68.8       66.9
30  2004                      2725.01                        335                     8250                  93.9                            92.2       70.6             92.6       67.8
31  2005                      1997.96                        335                     7004                  80.0                            68.5       70.6             68.1       67.8
32  2006                      2100.55                        335                     6403                  73.1                            72.1       70.6             71.6       67.9
33  2007                      2718.74                        335                     8300                  94.8                            93.8       71.3             92.6       68.6
34  2008                      2481.26                        335                     7562                  86.1                            85.3       71.7             84.3       69.1
35  2009                      2397.18                        335                     7296                  83.3                            82.9       72.0             81.7       69.5
36  2010                      2782.75                        335                     8560                  97.7                            95.5       72.7             94.8       70.2
37  2011                      2334.46                        335                     7289                  83.2                            79.6       72.9             79.6       70.4
38  2012                      2477.36                        335                     7521                  85.6                            84.2       73.2             84.2       70.8
39  2013                      2449.53                        340                     7310                  83.4                            82.6       73.4             82.8       71.1
40  2014                      2631.71                        340                     7875                  89.9                            88.8       73.8             88.4       71.5
41  2015                      1951.35                        340                     6109                  69.7                            66.0       73.6             65.5       71.4
42  2016                      2476.82                        340                     7700                  87.7                            83.3       73.8             82.9       71.6
43  2017                      2359.66                        340                     7832                  89.4                            79.7       74.0             79.2       71.8
44  2018                      2274.09                        340                     7393                  84.4                            76.3       74.0             76.4       71.9
45  2019                      2392.40                        340                     7341                  83.8                            80.3       74.2             80.3       72.1
46  2020                      2680.41                        340                     8067                  91.8                            89.8       74.5             89.8       72.5
47  2021                      2318.78                        340                     7243                  82.7                            77.8       74.6             77.8       72.6",ATUCHA-1,PHWR ,PHWR KWU,Operational,319.0,340.0,362.0,1179.0,101.49,NUCLEOELECTRICA ARGENTINA S.A.,NUCLEOELECTRICA ARGENTINA S.A.,1968-06-01,1974-01-13 00:00:00,1974-03-19 00:00:00,None,None,None,1974-06-24 00:00:00,0.726,0.779,0.746,3
3,ARGENTINA,"    Year Electricity Supplied  [GW.h] Reference Unit Power  [MW] Annual Time On Line  [h] Operation Factor  [%] Energy Availability Factor  [%]            Load Factor  [%]           
    Year Electricity Supplied  [GW.h] Reference Unit Power  [MW] Annual Time On Line  [h] Operation Factor  [%]                          Annual Cumulative           Annual Cumulative
0   1983                       815.40                        600                     2098                   NaN                             NaN        NaN              NaN        NaN
1   1984                      2527.07                        600                     6355                  70.6                            68.7       68.7             44.3       44.3
2   1985                      3778.57                        600                     8170                  93.3                            93.4       81.6             71.9       58.7
3   1986                      3061.67                        600                     5847                  66.8                            66.3       76.4             58.2       58.5
4   1987                      4577.05                        600                     7951                  90.8                            87.9       79.3             87.1       65.8
5   1988                      4560.58                        600                     7798                  88.8                            88.8       81.3             86.5       70.0
6   1989                      4658.98                        600                     7804                  89.1                            89.1       82.6             88.6       73.2
7   1990                      5000.74                        600                     8404                  95.9                            95.1       84.4             95.1       76.4
8   1991                      4498.81                        600                     7855                  89.7                            85.8       84.6             85.6       77.5
9   1992                      4353.98                        600                     7440                  84.7                            81.6       84.2             82.6       78.1
10  1993                      4773.27                        600                     7956                  90.8                            90.6       84.9             90.8       79.4
11  1994                      5157.89                        600                     8575                  97.9                            97.8       86.0             98.1       81.1
12  1995                      3897.91                        600                     6541                  74.7                            74.3       85.1             74.2       80.5
13  1996                      4891.97                        600                     8176                  93.1                            92.8       85.7             92.8       81.5
14  1997                      4737.03                        600                     7821                  89.3                            89.3       85.9             90.1       82.1
15  1998                      4555.43                        600                     7629                  87.1                            86.9       86.0             86.7       82.4
16  1999                      5201.79                        598                     8700                  99.3                            99.1       86.8             99.3       83.4
17  2000                      4064.48                        643                     6837                  77.8                            78.1       86.3             72.0       82.7
18  2001                      5128.11                        600                     8564                  97.8                            97.4       86.9             97.6       83.6
19  2002                      4385.52                        600                     7401                  84.5                            83.4       86.7             83.4       83.6
20  2003                      5004.14                        600                     8367                  95.5                            95.1       87.1             95.2       84.1
21  2004                      4589.57                        600                     7704                  87.7                            87.5       87.1             87.1       84.3
22  2005                      4372.48                        600                     7341                  83.8                            83.3       87.0             83.2       84.2
23  2006                      5052.10                        600                     8455                  96.5                            96.2       87.4             96.1       84.7
24  2007                      4003.72                        600                     6771                  77.3                            76.5       86.9             76.2       84.4
25  2008                      4368.61                        600                     7382                  84.0                            82.9       86.8             82.9       84.3
26  2009                      5192.43                        600                     8705                  99.4                            98.8       87.2             98.8       84.9
27  2010                      3908.69                        600                     6701                  76.5                            74.4       86.7             74.4       84.5
28  2011                      3559.35                        600                     7405                  84.5                            67.7       86.1             67.7       83.9
29  2012                      3425.53                        600                     7214                  82.1                            65.1       85.3             65.0       83.2
30  2013                      3285.69                        600                     6841                  78.1                            69.6       84.8             62.5       82.6
31  2014                      1533.11                        600                     3678                  42.0                            99.8       85.3             29.2       80.8
32  2015                       641.36                        600                     1564                  17.8                            99.8       85.8             12.2       78.7
33  2016                         0.00                        600                        0                   0.0                             0.0       83.1              0.0       76.3
34  2017                         0.00                        600                        0                   0.0                             0.0       80.7              0.0       74.0
35  2018                         0.00                        600                        0                   0.0                             0.0       78.4              0.0       71.9
36  2019                      3786.17                        608                     7051                  80.5                            71.8       78.2             71.1       71.9
37  2020                      4910.14                        608                     8447                  96.2                            91.9       78.6             91.9       72.5
38  2021                      4340.06                        608                     7227                  82.5                            81.5       78.7             81.5       72.7",EMBALSE,PHWR ,CANDU 6,Operational,608.0,608.0,656.0,2064.0,146.66,NUCLEOELECTRICA ARGENTINA S.A.,NUCLEOELECTRICA ARGENTINA S.A.,1974-04-01,1983-03-13 00:00:00,1983-04-25 00:00:00,None,None,None,1984-01-20 00:00:00,0.727,0.77,0.787,4
4,ARGENTINA,"   Year Electricity Supplied  [GW.h] Reference Unit Power  [MW] Annual Time On Line  [h] Operation Factor  [%] Energy Availability Factor  [%]            Load Factor  [%]           
   Year Electricity Supplied  [GW.h] Reference Unit Power  [MW] Annual Time On Line  [h] Operation Factor  [%]                          Annual Cumulative           Annual Cumulative
0  2014                      1093.35                        692                     3071                   NaN                             NaN        NaN              NaN        NaN
1  2015                      3925.92                        692                     6928                   NaN                             NaN        NaN              NaN        NaN
2  2016                      5200.54                        692                     8063                  89.5                            84.6       84.6             83.8       83.8
3  2017                      3356.61                        693                     5130                  58.6                            56.3       66.8             55.3       65.8
4  2018                      4178.88                        693                     6448                  73.6                            68.8       67.6             68.8       67.0
5  2019                      1748.39                        693                     7001                  79.9                            28.8       56.8             28.8       56.3
6  2020                      2421.87                        693                     6155                  70.1                            39.8       53.0             39.8       52.7
7  2021                      3510.88                        693                     7217                  82.4                            57.8       53.9             57.8       53.6",ATUCHA-2,PHWR ,PHWR KWU,Operational,692.0,693.0,745.0,2160.0,25.44,NUCLEOELECTRICA ARGENTINA S.A.,NUCLEOELECTRICA ARGENTINA S.A.,1981-07-14,2014-06-03 00:00:00,2014-06-25 00:00:00,None,None,None,2016-05-26 00:00:00,0.536,0.746,0.539,5
7,BELGIUM,"    Year Electricity Supplied  [GW.h] Reference Unit Power  [MW] Annual Time On Line  [h]  ... Energy Availability Factor  [%]                      Load Factor  [%]                   
    Year Electricity Supplied  [GW.h] Reference Unit Power  [MW] Annual Time On Line  [h]  ...                          Annual         Cumulative             Annual         Cumulative
0   1962            Data Not Provided          Data Not Provided        Data Not Provided  ...               Data Not Provided  Data Not Provided  Data Not Provided  Data Not Provided
1   1963                            ""                          ""                        ""  ...                               ""                  ""                  ""                  ""
2   1964                            ""                          ""                        ""  ...                               ""                  ""                  ""                  ""
3   1965                            ""                          ""                        ""  ...                               ""                  ""                  ""                  ""
4   1966                            ""                          ""                        ""  ...                               ""                  ""                  ""                  ""
5   1967                            ""                          ""                        ""  ...                               ""                  ""                  ""                  ""
6   1968                            ""                          ""                        ""  ...                               ""                  ""                  ""                  ""
7   1969                            ""                          ""                        ""  ...                               ""                  ""                  ""                  ""
8   1970                            ""                          ""                        ""  ...                               ""                  ""                  ""                  ""
9   1971                            ""                          ""                        ""  ...                               ""                  ""                  ""                  ""
10  1972                            ""                          ""                        ""  ...                               ""                  ""                  ""                  ""
11  1973                       68.700                         11                     7323  ...                            70.2                 NC               71.3                 NC
12  1974                       23.200                         11                     3522  ...                            25.7                 NC               24.1                 NC
13  1975                       18.100                         11                     3313  ...                            17.0                 NC               18.8                 NC
14  1976                       22.000                         10                     3610  ...                            25.0                 NC               25.0                 NC
15  1977                       74.400                         10                     8391  ...                            85.3                 NC               84.9                 NC
16  1978                       20.800                         10                     2286  ...                            24.1                 NC               23.7                 NC
17  1979                       31.100                         10                     3532  ...                            34.6                 NC               35.5                 NC
18  1980            Data Not Provided          Data Not Provided        Data Not Provided  ...               Data Not Provided  Data Not Provided  Data Not Provided  Data Not Provided
19  1981                            ""                          ""                        ""  ...                               ""                  ""                  ""                  ""
20  1982                       40.000                         10                     4823  ...                            46.0                 NC               45.7                 NC
21  1983                       13.000                         10                     1677  ...                            14.8                 NC               14.8                 NC
22  1984                       31.000                         10                     3642  ...                            35.3                 NC               35.3                 NC
23  1985                       47.210                         10                     6274  ...                            53.5                 NC               53.9                 NC
24  1986                       31.890                         10                     4115  ...                            39.8                 NC               36.4                 NC
25  1987                       29.280                         10                     3897  ...                            66.9               40.3               67.4               40.2

[26 rows x 9 columns]",BR-3,PWR  ,Prototype,Permanent Shutdown,11.0,10.0,12.0,41.0,0.76,None,None,1957-11-01,1962-08-29 00:00:00,1962-10-10 00:00:00,None,None,1987-06-30 00:00:00,1962-10-10 00:00:00,0.402,0.515,0.40299999999999997,8
8,BELGIUM,"    Year Electricity Supplied  [GW.h] Reference Unit Power  [MW] Annual Time On Line  [h] Operation Factor  [%] Energy Availability Factor  [%]            Load Factor  [%]           
    Year Electricity Supplied  [GW.h] Reference Unit Power  [MW] Annual Time On Line  [h] Operation Factor  [%]                          Annual Cumulative           Annual Cumulative
0   1974                       114.30                        293                      604                   NaN                             NaN        NaN              NaN        NaN
1   1975                      2557.60                        392                     7257                  81.8                            75.8       75.8             75.8       75.8
2   1976                      2667.10                        395                     6928                  78.9                            75.5       75.6             76.9       76.4
3   1977                      2830.00                        395                     7332                  83.7                            81.8       77.8             81.8       78.3
4   1978                      2731.20                        395                     7071                  80.7                            78.9       78.1             78.9       78.4
5   1979                      3037.00                        395                     7812                  89.2                            86.4       79.8             87.8       80.4
6   1980                      2901.00                        395                     7596                  86.5                            84.4       80.6             83.6       80.9
7   1981                      2946.00                        395                     7644                  87.3                            85.0       81.2             85.1       81.6
8   1982                      3184.50                        395                     8103                  92.5                            91.2       82.5             92.0       82.9
9   1983                      2823.00                        393                     7316                  83.5                            81.8       82.4             82.0       82.8
10  1984                      3129.00                        393                     7988                  90.9                            90.2       83.2             90.6       83.6
11  1985                      2896.32                        392                     7330                  83.7                            82.4       83.1             84.3       83.6
12  1986                      2685.93                        392                     7040                  80.4                            78.8       82.8             78.2       83.2
13  1987                      2928.35                        400                     7306                  83.4                            85.4       83.0             83.6       83.2
14  1988                      2694.15                        400                     7686                  87.5                            81.3       82.9             76.7       82.8
15  1989                      2513.10                        400                     6475                  73.9                            71.9       82.1             71.7       82.0
16  1990                      2859.89                        400                     7380                  84.2                            83.5       82.2             81.6       82.0
17  1991                      3061.38                        400                     7860                  89.7                            89.2       82.6             87.4       82.3
18  1992                      2990.54                        400                     7741                  88.1                            86.5       82.8             85.1       82.4
19  1993                      2908.89                        400                     7580                  86.5                            84.4       82.9             83.0       82.5
20  1994                      2921.78                        400                     7635                  87.2                            84.3       83.0             83.4       82.5
21  1995                      2791.52                        392                     7342                  83.8                            81.0       82.9             81.3       82.5
22  1996                      3169.35                        392                     8141                  92.7                            91.2       83.3             92.0       82.9
23  1997                      3113.83                        392                     7899                  90.2                            88.9       83.5             90.7       83.2
24  1998                      3292.46                        392                     8277                  94.5                            93.7       84.0             95.9       83.8
25  1999                      3196.84                        392                     8123                  92.7                            91.1       84.2             93.1       84.1
26  2000                      3264.77                        392                     8317                  94.7                            92.3       84.6             94.8       84.6
27  2001                      3157.62                        392                     8098                  92.4                            90.5       84.8             91.9       84.8
28  2002                      3260.70                        392                     8308                  94.8                            93.3       85.1             95.0       85.2
29  2003                      3024.60                        392                     7953                  90.8                            86.4       85.1             88.1       85.3
30  2004                      2989.10                        392                     7742                  88.1                            85.5       85.1             86.8       85.3
31  2005                      3062.65                        392                     7849                  89.6                            88.0       85.2             89.2       85.5
32  2006                      3100.48                        392                     8030                  91.7                            89.2       85.3             90.3       85.6
33  2007                      3028.97                        392                     7709                  88.0                            87.6       85.4             88.2       85.7
34  2008                      2690.32                        392                     6847                  78.0                            77.3       85.2             78.1       85.5
35  2009                      2874.05                        392                     7266                  83.0                            82.9       85.1             83.7       85.4
36  2010                      3401.38                        433                     7801                  89.0                            88.2       85.2             89.7       85.5
37  2011                      3328.53                        433                     7740                  88.4                            87.8       85.3             87.8       85.6
38  2012                      3444.69                        433                     8019                  91.3                            90.9       85.4             90.6       85.8
39  2013                      3707.93                        433                     8595                  98.1                            97.2       85.8             97.8       86.1
40  2014                      3556.42                        433                     8230                  94.0                            93.4       86.0             93.8       86.3
41  2015                       396.78                        433                     1143                  13.0                            95.3       86.2             10.5       84.3
42  2016                      3014.51                        433                     7056                  80.3                            79.4       86.0             79.3       84.2
43  2017                      3426.38                        433                     8019                  91.5                            90.3       86.2             90.3       84.3
44  2018                      1172.49                        433                     2700                  30.8                            30.8       84.8             30.9       83.0
45  2019                      2185.67                        445                     4968                  56.7                            55.8       84.1             56.3       82.4
46  2020                      2172.18                        445                     4946                  56.3                            55.2       83.4             55.6       81.7
47  2021                      3587.85                        445                     8045                  91.8                            91.0       83.6             92.0       82.0",DOEL-1,PWR  ,WH 2LP,Operational,392.0,445.0,454.0,1311.0,136.82,None,ENGIE ELECTRABEL + EDF BELGIUM + EDF LUMINUS,1969-07-01,1974-07-18 00:00:00,1974-08-28 00:00:00,None,None,None,1975-02-15 00:00:00,0.82,0.835,0.836,9
9,BELGIUM,"    Year Electricity Supplied  [GW.h] Reference Unit Power  [MW] Annual Time On Line  [h] Operation Factor  [%] Energy Availability Factor  [%]            Load Factor  [%]           
    Year Electricity Supplied  [GW.h] Reference Unit Power  [MW] Annual Time On Line  [h] Operation Factor  [%]                          Annual Cumulative           Annual Cumulative
0   1975                      3096.30                        870                     5360                  94.5                            76.2       76.2             76.2       76.2
1   1976                      4409.50                        870                     6354                  72.3                            57.5       61.3             57.7       61.4
2   1977                      5842.30                        870                     7234                  82.6                            76.7       68.1             76.7       68.2
3   1978                      6371.00                        870                     7582                  86.6                            84.3       73.1             83.6       72.9
4   1979                      5159.00                        870                     6121                  69.9                            67.6       71.8             67.7       71.7
5   1980                      6173.00                        870                     7337                  83.5                            80.7       73.5             80.8       73.4
6   1981                      6414.20                        870                     7762                  88.6                            83.8       75.1             84.2       75.1
7   1982                      6164.80                        870                     7269                  83.0                            80.8       75.9             80.9       75.9
8   1983                      5843.00                        870                     7135                  81.4                            76.5       76.0             76.7       76.0
9   1984                      6374.00                        870                     7774                  88.5                            83.4       76.8             83.4       76.8
10  1985                      5979.00                        870                     8077                  92.2                            81.1       77.2             78.4       77.0
11  1986                      4005.00                        870                     5429                  62.0                            54.8       75.2             52.6       74.8
12  1987                      7337.00                        870                     8733                  99.7                            97.6       77.0             96.3       76.6
13  1988                      6310.00                        870                     7520                  85.6                            83.9       77.6             82.6       77.0
14  1989                      6508.00                        870                     7854                  89.7                            87.8       78.3             85.4       77.6
15  1990                      6683.00                        870                     8082                  92.3                            88.4       79.0             87.7       78.3
16  1991                      6163.00                        870                     7714                  88.1                            81.0       79.1             80.9       78.4
17  1992                      6059.00                        870                     7807                  88.9                            79.1       79.1             79.3       78.5
18  1993                      7317.00                        870                     8459                  96.6                            96.4       80.0             96.0       79.4
19  1994                      6737.00                        863                     8018                  91.5                            90.0       80.5             89.1       79.9
20  1995                      5442.00                        931                     6488                  74.1                            70.0       80.0             70.4       79.4
21  1996                      7210.66                        931                     7823                  89.1                            88.2       80.4             88.2       79.9
22  1997                      7942.57                        962                     8385                  95.7                            94.3       81.1             94.2       80.6
23  1998                      7264.00                        962                     7777                  88.8                            86.3       81.3             86.2       80.9
24  1999                      7272.00                        962                     7905                  90.2                            85.5       81.5             86.3       81.1
25  2000                      8457.00                        962                     8782                 100.0                            99.3       82.3            100.1       81.9
26  2001                      6969.00                        962                     7481                  85.4                            82.5       82.3             82.7       82.0
27  2002                      7047.15                        962                     7631                  87.1                            83.9       82.4             83.6       82.0
28  2003                      7990.42                        962                     8552                  97.6                            95.1       82.8             94.8       82.5
29  2004                      7106.47                        962                     7456                  84.9                            84.5       82.9             84.1       82.6
30  2005                      6810.95                        962                     7403                  84.5                            80.2       82.8             80.8       82.5
31  2006                      8186.91                        962                     8693                  99.2                            98.8       83.4             97.2       83.0
32  2007                      7055.90                        962                     7627                  87.1                            85.1       83.4             83.7       83.0
33  2008                      7264.54                        962                     7650                  87.1                            85.2       83.5             86.0       83.1
34  2009                      8269.54                        962                     8679                  99.1                            97.8       83.9             98.1       83.6
35  2010                      7316.10                        962                     7752                  88.5                            86.4       84.0             86.8       83.7
36  2011                      6848.28                        962                     7333                  83.7                            81.2       83.9             81.3       83.6
37  2012                      6763.30                        962                     8784                 100.0                            79.4       83.8             80.0       83.5
38  2013                      6878.12                        962                     7203                  82.2                            80.4       83.7             81.6       83.5
39  2014                      7192.76                        962                     7503                  85.6                            84.5       83.7             85.4       83.5
40  2015                      5927.29                        962                     6211                  70.9                            69.7       83.4             70.3       83.2
41  2016                      2871.03                        962                     3026                  34.4                            33.7       82.1             34.0       81.9
42  2017                      3409.97                        962                     3675                  42.0                            40.4       81.0             40.5       80.9
43  2018                      7633.87                        962                     8024                  91.6                            89.8       81.3             90.6       81.1
44  2019                      8319.24                        962                     8714                  99.5                            98.2       81.7             98.7       81.5
45  2020                       303.85                        962                      434                   4.9                             3.6       79.8              3.6       79.7
46  2021                      8384.09                        962                     8760                 100.0                            99.0       80.3             99.5       80.2",TIHANGE-1,PWR  ,Framatome 3 loops reactor,Operational,870.0,962.0,1009.0,2873.0,301.64,"ENGIE ELECTRABEL
","ENGIE ELECTRABEL
",1970-06-01,1975-02-21 00:00:00,1975-03-07 00:00:00,None,None,None,1975-10-01 00:00:00,0.802,0.8390000000000001,0.8029999999999999,10
